ID,Function,Comment
1,"function sendEther ( address to , uint value ) external onlymanyowners ( keccak256 ( msg . data ) ) { require ( address ( 0 ) != to ) ; require ( value > 0 && this . balance >= value ) ; to . transfer ( value ) ; EtherSent ( to , value ) ; }",Send ` value ` of ether to address ` to `
2,function isReadyToMate ( uint256 _ponyId ) public view returns ( bool ) { require ( _ponyId > 0 ) ; Pony storage pon = ponies [ _ponyId ] ; return _isReadyToMate ( pon ) ; },Checks that a given pony is able to breed ( i.e .
3,"function allowance ( address _owner , address _spender ) constant public returns ( uint256 remaining ) { return allowed [ _owner ] [ _spender ] ; }",Returns the amount which _spender is still allowed to withdraw from _owner
4,function isValidator ( ) external view returns ( bool ) { uint256 totalValidators = _jurisdiction . countValidators ( ) ; for ( uint256 i = 0 ; i < totalValidators ; i ++ ) { address validator = _jurisdiction . getValidator ( i ) ; if ( validator == address ( this ) ) { return true ; } } return false ; },Check if contract is assigned as a validator on the jurisdiction .
5,"function issueAttribute ( address account , uint256 attributeTypeID , uint256 value ) external payable whenNotPaused { require ( msg . value == 0 , ""Basic jurisdictions do not support payments when assigning attributes"" ) ; require ( canValidate ( msg . sender , attributeTypeID ) , ""only approved validators may assign attributes of this type"" ) ; require ( _issuedAttributes [ account ] [ attributeTypeID ] . validator == address ( 0 ) , ""duplicate attributes are not supported, remove existing attribute first"" ) ; _issuedAttributes [ account ] [ attributeTypeID ] = IssuedAttribute ( { exists : true , validator : msg . sender , value : value } ) ; emit AttributeAdded ( msg . sender , account , attributeTypeID , value ) ; }",Issue an attribute of the type with ID ` attributeTypeID ` and a value of ` value ` to ` account ` if ` message.caller.address ( ) ` is approved validator .
7,"function deposit ( uint256 amount ) returns ( bool ) { bool success ; uint256 balance ; ( success , balance ) = data . deposit ( amount ) ; if ( success == true ) { ChannelNewBalance ( data . token , msg . sender , balance , block . number ) ; } return success ; }",Caller makes a deposit into their channel balance .
8,"function lockAndDistributeTokens ( address _tokenHolder , uint256 _amount , uint256 _percentageToLock , uint256 _unlockTime ) public onlyOwner { requireMultiple ( _amount ) ; require ( _percentageToLock <= 100 && _percentageToLock > 0 , ""You can only lock a percentage between 0 and 100."" ) ; require ( mLockedBalances [ _tokenHolder ] . amount == 0 , ""You can only lock one amount of tokens for a given address. It is currently indicating that there are already locked tokens for this address."" ) ; uint256 amountToLock = _amount . mul ( _percentageToLock ) . div ( 100 ) ; mBalances [ msg . sender ] = mBalances [ msg . sender ] . sub ( _amount ) ; mBalances [ _tokenHolder ] = mBalances [ _tokenHolder ] . add ( _amount ) ; mLockedBalances [ _tokenHolder ] = lockedTokens ( { amount : amountToLock , timeLockedUntil : _unlockTime } ) ; callRecipient ( msg . sender , 0x0 , _tokenHolder , _amount , """" , """" , true ) ; emit LockedTokens ( _tokenHolder , amountToLock , _unlockTime ) ; if ( mErc20compatible ) { emit Transfer ( 0x0 , _tokenHolder , _amount ) ; } }",locks a percentage of tokens for a specified time period and then grants ownership to the specified owner
10,"function revoke ( ERC20 token ) public onlyOwner { require ( revocable ) ; require ( ! revoked [ token ] ) ; uint256 balance = token . balanceOf ( this ) ; uint256 unreleased = releasableAmount ( token ) ; uint256 refund = balance . sub ( unreleased ) ; revoked [ token ] = true ; token . safeTransfer ( owner , refund ) ; emit Revoked ( ) ; }",Allows the owner to revoke the vesting .
13,"function approve ( address _to , uint256 _tokenId ) external payable { require ( msg . value == 0 ) ; address owner = _ownerOf ( _tokenId ) ; require ( _to != owner ) ; require ( msg . sender == owner || _isApprovedForAll ( owner , msg . sender ) ) ; _tokenApprovals [ _tokenId ] = _to ; emit Approval ( owner , _to , _tokenId ) ; }",Change or reaffirm the approved address for an NFT
15,function isDeregistered ( address _darknodeID ) public view returns ( bool ) { uint256 deregisteredAt = store . darknodeDeregisteredAt ( _darknodeID ) ; return deregisteredAt != 0 && deregisteredAt <= currentEpoch . blocknumber ; },Returns if a darknode is in the deregistered state .
